,~id,~from,~to,~label,weight,created,updated
0,cfkgeqqb5p20r39,8eg39oz345m8m91,v7lurh7vy44689w,provides,1,2024-12-15 01:21:26.006Z,2024-12-15 01:21:26.006Z
1,729717ezj0rmh0z,6t18hz9p2j056x6,f9ct89lau6974d3,provides,1,2024-12-15 01:21:26.010Z,2024-12-15 01:21:26.010Z
2,n91987ot09a478q,m3h769o80a70svq,8eg39oz345m8m91,manages,1,2024-12-15 01:21:26.011Z,2025-02-15 02:31:06.738Z
3,rff3bqytp4s2m49,m3h769o80a70svq,6t18hz9p2j056x6,manages,1,2024-12-15 01:21:26.012Z,2025-02-15 02:30:58.231Z
4,s4e638of97v5e9s,m3h769o80a70svq,s18t8l248y6th0o,manages,1,2024-12-15 01:21:26.014Z,2025-02-15 02:30:54.230Z
5,6p71re0u6440bqh,8eg39oz345m8m91,v7lurh7vy44689w,has_subproduct,1,2024-12-15 01:21:26.020Z,2024-12-15 01:21:26.020Z
6,szq66yfqi1yg297,6t18hz9p2j056x6,f9ct89lau6974d3,has_subproduct,1,2024-12-15 01:21:26.021Z,2024-12-15 01:21:26.021Z
7,43uzqxk80460cz7,1e7lnp2n5l04890,4vuizg6j7n68w9w,includes_sub_journey,1,2024-12-15 01:21:26.023Z,2024-12-15 01:21:26.023Z
8,nz7ivy6719mz245,1e7lnp2n5l04890,39b2g011ly04al5,includes_sub_journey,1,2024-12-15 01:21:26.024Z,2024-12-15 01:21:26.024Z
9,464kuuv43f843nx,71wud0roq689cc2,q2mta98j8z03ymy,includes_sub_journey,1,2024-12-15 01:21:26.025Z,2024-12-15 01:21:26.025Z
10,g0t2p6yz9b12hue,c16032ls6jwwwqh,1637ffp1xe8rp3a,includes_sub_journey,1,2024-12-15 01:21:26.026Z,2024-12-15 01:21:26.026Z
11,oz9gfl90v26x08g,c16032ls6jwwwqh,bih9y8k559frnfd,includes_sub_journey,1,2024-12-15 01:21:26.027Z,2024-12-15 01:21:26.027Z
12,u4tjd3l707qi3sn,c16032ls6jwwwqh,881y4sncjn10v8p,includes_sub_journey,1,2024-12-15 01:21:26.028Z,2024-12-15 01:21:26.028Z
13,bsb2456n3603416,l3g4d81ryg55y8l,19lw2d0b2yz7o41,includes_sub_journey,1,2024-12-15 01:21:26.029Z,2024-12-15 01:21:26.029Z
14,68mgj5etjl4719t,9em04idqf76o1uj,g7ldi8l2zr7xes4,includes_sub_journey,1,2024-12-15 01:21:26.030Z,2024-12-15 01:21:26.030Z
15,f830fsr12q4lwv2,6t18hz9p2j056x6,1637ffp1xe8rp3a,allows_account_management,1,2024-12-15 01:21:26.030Z,2024-12-15 01:21:26.030Z
16,6a40rgf98zq3pyx,s18t8l248y6th0o,4vuizg6j7n68w9w,follows_specific_shopping_journey,1,2024-12-15 01:21:26.031Z,2024-12-15 01:21:26.031Z
17,9282z8n4q1sow12,m3h769o80a70svq,1e7lnp2n5l04890,supports_customer_journey,1,2024-12-15 01:21:26.032Z,2024-12-15 01:21:26.032Z
18,b83vy4ty4n90zkp,m3h769o80a70svq,71wud0roq689cc2,enables_financial_transactions,1,2024-12-15 01:21:26.032Z,2024-12-15 01:21:26.032Z
19,1227y9482g546sp,m3h769o80a70svq,c16032ls6jwwwqh,provides_account_management,1,2024-12-15 01:21:26.033Z,2024-12-15 01:21:26.033Z
20,rxcet0i3pp32865,m3h769o80a70svq,l3g4d81ryg55y8l,handles_customer_support,1,2024-12-15 01:21:26.033Z,2024-12-15 01:21:26.033Z
21,o272x6j5d7tgk6c,v7lurh7vy44689w,q2mta98j8z03ymy,supports_multiple_transaction_types,1,2024-12-15 01:21:26.034Z,2024-12-15 01:21:26.034Z
22,10201i546vrhex0,1e7lnp2n5l04890,k303oxk9beltky5,includes_sub_journey,1,2025-02-15 03:58:54.459Z,2025-02-15 03:59:36.177Z
23,28hr3h3728kg710,3lazm1554p5jvh7,k303oxk9beltky5,regulates,1,2025-02-15 04:03:32.199Z,2025-02-15 04:03:32.199Z
24,8q234y8278j4ly8,3lazm1554p5jvh7,q2mta98j8z03ymy,regulates,1,2025-02-15 16:21:02.158Z,2025-02-15 16:21:02.158Z
